N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Accidente_Grave;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente;Riesgo_peatones;Joven_inexperto
831;Brasil;Sao Paulo;45044;Manana;Urbano;Calle;Despejado;1;91;23;Femenino;2;0;Grave;9;1;Error humano;182;Si
832;Brasil;Sao Paulo;44927;Noche;Urbano;Carretera;Lluvioso;1;75;22;Masculino;2;1;Grave;1;1;Error humano;150;Si
833;Brasil;Sao Paulo;45028;Noche;Urbano;Calle;Lluvioso;1;65;16;Femenino;1;2;No grave;18;2;Error humano;65;Si
834;Brasil;Sao Paulo;45171;Tarde;Rural;Carretera;Despejado;2;94;74;Femenino;2;1;Grave;17;4;Error humano;188;No
835;Brasil;Puerto Alegre;45202;Noche;Urbano;Carretera;Lluvioso;4;72;40;Masculino;0;0;Grave;9;2;Falla tecnica;0;No
836;Brasil;Puerto Alegre;45021;Tarde;Urbano;Carretera;Despejado;4;109;22;Femenino;0;0;Grave;5;0;Error humano;0;Si
837;Brasil;Salvador de Bahia;45197;Tarde;Urbano;Carretera;Lluvioso;1;116;45;Masculino;2;2;Grave;12;4;Error humano;232;No
838;Brasil;Puerto Alegre;44990;Noche;Urbano;Calle;Neblinoso;3;84;29;Masculino;0;1;Grave;14;4;Falla tecnica;0;No
839;Brasil;Salvador de Bahia;44928;Manana;Urbano;Carretera;Despejado;1;58;71;Masculino;0;1;No grave;1;4;Error humano;0;No
840;Brasil;Puerto Alegre;45049;Noche;Urbano;Calle;Nevoso;4;76;16;Masculino;2;0;Grave;18;4;Error humano;152;Si
841;Brasil;Sao Paulo;44989;Noche;Urbano;Carretera;Despejado;2;106;17;Masculino;2;2;Grave;18;2;Error humano;212;Si
842;Brasil;Belo Horizonte;44990;Tarde;Urbano;Carretera;Nevoso;2;78;31;Masculino;2;0;Grave;7;2;Error humano;156;No
843;Brasil;Salvador de Bahia;45197;Tarde;Urbano;Calle;Lluvioso;2;80;17;Femenino;0;0;Grave;12;4;Error humano;0;Si
844;Brasil;Belo Horizonte;44987;Noche;Urbano;Carretera;Lluvioso;1;66;28;Femenino;0;2;Grave;17;4;Error humano;0;No
845;Brasil;Belo Horizonte;45140;Manana;Urbano;Carretera;Nevoso;4;75;24;Masculino;2;2;Grave;18;4;Error humano;150;Si
846;Brasil;Puerto Alegre;45020;Noche;Urbano;Calle;Lluvioso;3;66;22;Femenino;0;0;No grave;6;0;Error humano;0;Si
847;Brasil;Sao Paulo;45231;Manana;Urbano;Carretera;Despejado;1;37;66;Femenino;0;2;No grave;0;1;Error humano;0;No
848;Brasil;Rio De Janeiro;45174;Noche;Urbano;Carretera;Lluvioso;3;102;45;Femenino;0;2;Grave;6;2;Error humano;0;No
849;Brasil;Salvador de Bahia;45079;Tarde;Rural;Carretera;Lluvioso;1;53;75;Masculino;1;0;No grave;2;2;Error humano;53;No
850;Brasil;Rio De Janeiro;44969;Noche;Urbano;Calle;Despejado;3;64;35;Masculino;2;1;No grave;8;2;Error humano;128;No
851;Brasil;Sao Paulo;45018;Noche;Urbano;Calle;Despejado;2;73;50;Masculino;1;1;Grave;10;1;Error humano;73;No
852;Brasil;Puerto Alegre;45150;Manana;Urbano;Calle;Neblinoso;1;114;22;Masculino;1;1;Grave;9;2;Error humano;114;Si
853;Brasil;Belo Horizonte;45143;Tarde;Urbano;Calle;Lluvioso;4;44;37;Femenino;2;2;Grave;16;0;Error humano;88;No
854;Brasil;Sao Paulo;45109;Tarde;Urbano;Carretera;Lluvioso;2;83;16;Masculino;1;1;Grave;3;1;Falla tecnica;83;Si
855;Brasil;Rio De Janeiro;44938;Noche;Urbano;Carretera;Lluvioso;3;32;20;Femenino;0;0;No grave;19;2;Falla tecnica;0;Si
856;Brasil;Puerto Alegre;45258;Tarde;Urbano;Calle;Nevoso;2;88;20;Femenino;0;1;Grave;3;4;Error humano;0;Si
857;Brasil;Belo Horizonte;44932;Tarde;Urbano;Calle;Lluvioso;2;53;26;Femenino;0;2;No grave;6;4;Error humano;0;No
858;Brasil;Salvador de Bahia;45105;Noche;Urbano;Carretera;Lluvioso;3;76;41;Femenino;0;0;Grave;14;2;Falla tecnica;0;No
859;Brasil;Rio De Janeiro;45211;Manana;Urbano;Calle;Lluvioso;2;59;34;Femenino;1;1;Grave;12;4;Falla tecnica;59;No
860;Brasil;Puerto Alegre;45150;Noche;Urbano;Calle;Neblinoso;2;97;16;Femenino;2;1;Grave;7;2;Error humano;194;Si
861;Brasil;Rio De Janeiro;45112;Tarde;Urbano;Carretera;Despejado;1;86;16;Masculino;0;2;Grave;13;3;Falla tecnica;0;Si
862;Brasil;Sao Paulo;45109;Noche;Urbano;Calle;Lluvioso;2;43;48;Masculino;1;2;Grave;13;1;Error humano;43;No
863;Brasil;Sao Paulo;45204;Tarde;Urbano;Calle;Neblinoso;1;57;19;Femenino;2;0;Grave;0;3;Error humano;114;Si
864;Brasil;Sao Paulo;44986;Noche;Urbano;Calle;Lluvioso;4;96;31;Femenino;2;2;Grave;19;3;Falla tecnica;192;No
865;Brasil;Rio De Janeiro;45175;Noche;Urbano;Calle;Neblinoso;3;64;17;Femenino;2;0;Grave;0;2;Error humano;128;Si
866;Brasil;Salvador de Bahia;44957;Manana;Urbano;Carretera;Lluvioso;4;81;20;Femenino;2;0;Grave;7;4;Error humano;162;Si
867;Brasil;Puerto Alegre;45291;Noche;Urbano;Calle;Despejado;3;108;22;Femenino;0;0;Grave;10;1;Error humano;0;Si
868;Brasil;Salvador de Bahia;45197;Noche;Rural;Carretera;Neblinoso;3;84;53;Femenino;0;2;Grave;10;0;Clima;0;No
869;Brasil;Salvador de Bahia;45150;Tarde;Urbano;Carretera;Despejado;3;106;51;Masculino;0;0;Grave;12;4;Error humano;0;No
870;Brasil;Rio De Janeiro;44991;Noche;Urbano;Calle;Nevoso;2;73;16;Masculino;2;0;Grave;12;3;Clima;146;Si
871;Brasil;Salvador de Bahia;45284;Manana;Urbano;Calle;Lluvioso;1;92;28;Femenino;1;2;Grave;15;4;Error humano;92;No
872;Brasil;Belo Horizonte;45058;Noche;Urbano;Carretera;Lluvioso;2;114;16;Femenino;1;0;Grave;13;0;Error humano;114;Si
873;Brasil;Salvador de Bahia;45272;Noche;Rural;Calle;Nevoso;4;91;53;Femenino;0;2;Grave;4;1;Clima;0;No
874;Brasil;Sao Paulo;45139;Noche;Urbano;Calle;Lluvioso;3;76;19;Masculino;2;1;Grave;11;3;Clima;152;Si
875;Brasil;Belo Horizonte;45048;Manana;Urbano;Calle;Despejado;3;82;20;Femenino;0;2;Grave;4;4;Clima;0;Si
876;Brasil;Sao Paulo;45265;Noche;Rural;Carretera;Nevoso;3;67;55;Masculino;1;1;No grave;12;2;Error humano;67;No
877;Brasil;Rio De Janeiro;44959;Noche;Urbano;Carretera;Lluvioso;1;97;66;Masculino;1;0;Grave;0;1;Error humano;97;No
878;Brasil;Rio De Janeiro;44950;Noche;Urbano;Calle;Nevoso;3;68;24;Femenino;0;2;Grave;7;4;Clima;0;Si
879;Brasil;Rio De Janeiro;45201;Noche;Urbano;Carretera;Neblinoso;3;71;73;Masculino;1;0;Grave;9;1;Error humano;71;No
880;Brasil;Sao Paulo;45170;Manana;Urbano;Carretera;Lluvioso;3;57;68;Masculino;2;2;No grave;18;3;Clima;114;No
881;Brasil;Salvador de Bahia;45105;Manana;Urbano;Carretera;Lluvioso;3;78;64;Femenino;1;0;Grave;10;4;Error humano;78;No
882;Brasil;Rio De Janeiro;45079;Manana;Urbano;Calle;Lluvioso;1;58;17;Masculino;1;1;Grave;3;4;Clima;58;Si
883;Brasil;Puerto Alegre;44986;Manana;Urbano;Carretera;Despejado;1;61;29;Femenino;1;0;Grave;17;4;Error humano;61;No
884;Brasil;Sao Paulo;44938;Manana;Urbano;Calle;Despejado;2;71;41;Femenino;1;1;Grave;10;2;Error humano;71;No
885;Brasil;Rio De Janeiro;45170;Noche;Rural;Carretera;Neblinoso;2;70;60;Masculino;1;2;Grave;8;3;Error humano;70;No
886;Brasil;Sao Paulo;45266;Noche;Urbano;Calle;Lluvioso;4;66;72;Femenino;1;2;No grave;8;4;Error humano;66;No
887;Brasil;Puerto Alegre;45234;Noche;Urbano;Calle;Neblinoso;2;46;29;Femenino;0;0;Grave;5;1;Error humano;0;No
888;Brasil;Salvador de Bahia;45019;Tarde;Urbano;Calle;Neblinoso;4;64;42;Femenino;0;2;Grave;18;4;Clima;0;No
889;Brasil;Rio De Janeiro;45258;Manana;Urbano;Calle;Despejado;2;94;16;Masculino;1;1;Grave;8;2;Falla tecnica;94;Si
890;Brasil;Rio De Janeiro;44928;Noche;Urbano;Carretera;Neblinoso;3;48;73;Masculino;0;1;Grave;4;1;Error humano;0;No
891;Brasil;Puerto Alegre;44991;Manana;Urbano;Calle;Nevoso;2;33;34;Masculino;2;1;Grave;0;2;Error humano;66;No
892;Brasil;Belo Horizonte;45140;Manana;Urbano;Calle;Despejado;3;49;34;Masculino;2;2;Grave;5;1;Clima;98;No
893;Brasil;Puerto Alegre;45233;Tarde;Urbano;Calle;Lluvioso;1;80;38;Femenino;0;1;Grave;9;3;Clima;0;No
894;Brasil;Belo Horizonte;45170;Noche;Urbano;Carretera;Nevoso;1;96;68;Femenino;2;0;Grave;10;1;Clima;192;No
895;Brasil;Puerto Alegre;44961;Noche;Urbano;Carretera;Lluvioso;3;36;65;Masculino;1;2;No grave;16;3;Error humano;36;No
896;Brasil;Belo Horizonte;45109;Tarde;Urbano;Carretera;Lluvioso;1;86;28;Femenino;2;1;Grave;4;4;Error humano;172;No
897;Brasil;Puerto Alegre;45233;Noche;Urbano;Carretera;Despejado;1;39;60;Femenino;2;0;Grave;1;2;Falla tecnica;78;No
898;Brasil;Belo Horizonte;45141;Noche;Urbano;Calle;Neblinoso;3;114;17;Femenino;1;1;Grave;14;4;Error humano;114;Si
899;Brasil;Sao Paulo;45077;Manana;Rural;Calle;Lluvioso;2;67;70;Femenino;0;1;Grave;2;4;Clima;0;No
900;Brasil;Salvador de Bahia;45058;Noche;Urbano;Calle;Nevoso;4;111;16;Masculino;0;2;Grave;4;4;Error humano;0;Si
901;Brasil;Rio De Janeiro;44981;Noche;Urbano;Calle;Despejado;3;94;24;Masculino;1;0;Grave;12;4;Falla tecnica;94;Si
902;Brasil;Sao Paulo;45113;Noche;Urbano;Calle;Nevoso;3;50;19;Masculino;2;1;No grave;11;4;Clima;100;Si
903;Brasil;Sao Paulo;45078;Tarde;Urbano;Calle;Nevoso;4;59;19;Femenino;1;1;Grave;5;1;Error humano;59;Si
904;Brasil;Belo Horizonte;45206;Tarde;Rural;Calle;Despejado;4;97;73;Femenino;0;0;Grave;3;1;Clima;0;No
905;Brasil;Puerto Alegre;44985;Noche;Urbano;Carretera;Lluvioso;2;37;31;Femenino;0;2;Grave;4;0;Falla tecnica;0;No
906;Brasil;Salvador de Bahia;45262;Noche;Urbano;Calle;Neblinoso;4;30;25;Masculino;2;0;Grave;3;1;Error humano;60;Si
907;Brasil;Salvador de Bahia;45265;Noche;Urbano;Carretera;Neblinoso;2;114;68;Femenino;2;1;Grave;18;4;Error humano;228;No
908;Brasil;Belo Horizonte;45236;Noche;Rural;Carretera;Nevoso;2;107;59;Femenino;1;0;Grave;8;1;Error humano;107;No
909;Brasil;Rio De Janeiro;44997;Noche;Urbano;Calle;Neblinoso;1;110;44;Femenino;2;2;Grave;14;3;Error humano;220;No
910;Brasil;Rio De Janeiro;45145;Tarde;Urbano;Calle;Despejado;1;95;48;Femenino;1;2;Grave;18;1;Error humano;95;No
911;Brasil;Rio De Janeiro;44959;Manana;Rural;Calle;Neblinoso;1;112;38;Masculino;0;1;Grave;0;4;Error humano;0;No
912;Brasil;Salvador de Bahia;45082;Noche;Rural;Carretera;Lluvioso;2;72;61;Femenino;1;2;Grave;2;1;Error humano;72;No
913;Brasil;Belo Horizonte;44991;Noche;Urbano;Calle;Neblinoso;1;118;21;Masculino;1;1;Grave;3;1;Error humano;118;Si
914;Brasil;Rio De Janeiro;45140;Manana;Urbano;Carretera;Neblinoso;2;68;23;Masculino;2;2;Grave;12;2;Error humano;136;Si
915;Brasil;Puerto Alegre;45050;Noche;Urbano;Calle;Lluvioso;1;99;18;Femenino;1;2;Grave;5;2;Error humano;99;Si
916;Brasil;Belo Horizonte;45205;Manana;Rural;Calle;Neblinoso;3;101;43;Femenino;2;1;Grave;12;0;Error humano;202;No
917;Brasil;Belo Horizonte;45204;Manana;Rural;Calle;Despejado;1;110;46;Masculino;0;2;Grave;5;2;Error humano;0;No
918;Brasil;Sao Paulo;45201;Manana;Urbano;Carretera;Despejado;4;98;62;Femenino;2;0;Grave;14;3;Clima;196;No
919;Brasil;Puerto Alegre;44928;Noche;Urbano;Carretera;Neblinoso;4;74;28;Femenino;1;1;Grave;19;4;Clima;74;No
920;Brasil;Salvador de Bahia;45109;Manana;Rural;Carretera;Neblinoso;2;49;70;Masculino;2;0;Grave;18;0;Error humano;98;No
921;Brasil;Puerto Alegre;44959;Noche;Urbano;Carretera;Nevoso;4;112;17;Masculino;0;2;Grave;11;3;Error humano;0;Si
922;Brasil;Belo Horizonte;44987;Manana;Rural;Calle;Neblinoso;3;62;40;Femenino;0;0;Grave;17;3;Error humano;0;No
923;Brasil;Belo Horizonte;45109;Manana;Urbano;Calle;Lluvioso;4;35;51;Femenino;2;2;No grave;8;0;Clima;70;No
924;Brasil;Rio De Janeiro;45172;Tarde;Rural;Carretera;Lluvioso;1;107;47;Femenino;0;2;Grave;10;3;Error humano;0;No
925;Brasil;Sao Paulo;45206;Tarde;Urbano;Carretera;Nevoso;1;96;17;Masculino;1;2;Grave;0;3;Falla tecnica;96;Si
926;Brasil;Sao Paulo;45048;Noche;Urbano;Carretera;Nevoso;2;33;16;Masculino;0;0;Grave;15;0;Clima;0;Si
927;Brasil;Salvador de Bahia;45140;Manana;Urbano;Carretera;Neblinoso;1;88;70;Masculino;2;0;Grave;10;2;Clima;176;No
928;Brasil;Sao Paulo;45105;Manana;Urbano;Calle;Neblinoso;2;64;16;Masculino;0;0;Grave;2;0;Falla tecnica;0;Si
929;Brasil;Puerto Alegre;45172;Noche;Urbano;Calle;Nevoso;2;59;27;Masculino;2;1;No grave;6;4;Error humano;118;No
930;Brasil;Rio De Janeiro;45261;Tarde;Urbano;Calle;Nevoso;2;92;42;Femenino;2;1;Grave;18;4;Clima;184;No
931;Brasil;Salvador de Bahia;45081;Manana;Urbano;Calle;Lluvioso;2;45;22;Femenino;1;0;Grave;3;3;Error humano;45;Si
932;Brasil;Sao Paulo;44969;Noche;Urbano;Carretera;Neblinoso;2;61;60;Masculino;1;0;Grave;13;2;Falla tecnica;61;No
933;Brasil;Belo Horizonte;44928;Noche;Urbano;Carretera;Despejado;3;48;26;Femenino;0;2;Grave;5;3;Error humano;0;No
934;Brasil;Salvador de Bahia;44959;Noche;Urbano;Carretera;Neblinoso;2;45;17;Femenino;0;1;Grave;19;1;Error humano;0;Si
935;Brasil;Belo Horizonte;45203;Noche;Urbano;Carretera;Lluvioso;2;65;16;Masculino;1;1;No grave;5;4;Error humano;65;Si
936;Brasil;Salvador de Bahia;44990;Noche;Rural;Carretera;Lluvioso;1;94;58;Masculino;1;2;Grave;15;0;Error humano;94;No
937;Brasil;Puerto Alegre;45048;Manana;Urbano;Calle;Despejado;3;104;20;Femenino;2;1;Grave;2;4;Error humano;208;Si
938;Brasil;Rio De Janeiro;45172;Tarde;Urbano;Carretera;Neblinoso;2;30;60;Femenino;2;1;No grave;17;3;Falla tecnica;60;No
939;Brasil;Belo Horizonte;45105;Noche;Urbano;Carretera;Lluvioso;2;79;17;Femenino;2;1;Grave;11;4;Clima;158;Si
940;Brasil;Belo Horizonte;45051;Noche;Urbano;Calle;Despejado;3;33;16;Masculino;0;1;Grave;4;1;Falla tecnica;0;Si
941;Brasil;Rio De Janeiro;45230;Tarde;Urbano;Calle;Despejado;2;118;25;Masculino;1;2;Grave;18;0;Error humano;118;Si
942;Brasil;Sao Paulo;45145;Tarde;Urbano;Carretera;Despejado;4;30;16;Masculino;1;1;Grave;2;3;Clima;30;Si
943;Brasil;Salvador de Bahia;45114;Noche;Rural;Carretera;Lluvioso;3;74;74;Masculino;2;2;Grave;17;2;Error humano;148;No
944;Brasil;Belo Horizonte;45109;Manana;Rural;Carretera;Lluvioso;3;64;52;Femenino;0;0;No grave;12;0;Error humano;0;No
945;Brasil;Salvador de Bahia;45174;Tarde;Urbano;Calle;Lluvioso;2;47;72;Masculino;0;2;Grave;11;3;Error humano;0;No
946;Brasil;Rio De Janeiro;45181;Tarde;Rural;Carretera;Lluvioso;1;45;70;Femenino;2;0;No grave;19;3;Falla tecnica;90;No
947;Brasil;Rio De Janeiro;45150;Noche;Urbano;Calle;Nevoso;4;83;23;Masculino;0;2;Grave;3;3;Clima;0;Si
948;Brasil;Sao Paulo;45262;Manana;Urbano;Carretera;Despejado;4;40;58;Femenino;0;2;No grave;15;2;Error humano;0;No
949;Brasil;Puerto Alegre;45200;Tarde;Urbano;Calle;Lluvioso;2;67;17;Masculino;1;2;Grave;14;2;Error humano;67;Si
950;Brasil;Rio De Janeiro;45211;Tarde;Urbano;Carretera;Despejado;3;76;60;Masculino;0;0;Grave;15;2;Error humano;0;No
951;Brasil;Puerto Alegre;45019;Manana;Urbano;Carretera;Lluvioso;1;82;25;Femenino;1;0;Grave;16;1;Error humano;82;Si
952;Brasil;Puerto Alegre;45053;Noche;Urbano;Calle;Despejado;4;78;17;Femenino;1;2;Grave;17;1;Clima;78;Si
953;Brasil;Belo Horizonte;45258;Tarde;Urbano;Calle;Despejado;3;96;16;Masculino;0;0;Grave;1;4;Error humano;0;Si
954;Brasil;Salvador de Bahia;45206;Tarde;Urbano;Calle;Lluvioso;2;79;42;Masculino;1;1;Grave;10;1;Falla tecnica;79;No
955;Brasil;Belo Horizonte;45170;Manana;Rural;Carretera;Lluvioso;1;110;45;Masculino;1;1;Grave;1;4;Error humano;110;No
956;Brasil;Puerto Alegre;45169;Noche;Urbano;Carretera;Lluvioso;3;100;60;Masculino;2;2;Grave;5;4;Error humano;200;No
957;Brasil;Belo Horizonte;45131;Tarde;Urbano;Calle;Nevoso;4;109;16;Masculino;1;1;Grave;17;1;Error humano;109;Si
958;Brasil;Puerto Alegre;45050;Tarde;Urbano;Calle;Nevoso;3;55;23;Masculino;1;2;Grave;19;3;Falla tecnica;55;Si
959;Brasil;Rio De Janeiro;45021;Manana;Urbano;Calle;Nevoso;3;97;68;Masculino;2;1;Grave;8;1;Error humano;194;No
960;Brasil;Belo Horizonte;45131;Tarde;Urbano;Calle;Despejado;3;114;55;Femenino;0;2;Grave;13;1;Error humano;0;No
961;Brasil;Belo Horizonte;44957;Noche;Urbano;Calle;Lluvioso;2;89;32;Masculino;1;2;Grave;19;4;Falla tecnica;89;No
962;Brasil;Belo Horizonte;44929;Tarde;Urbano;Calle;Lluvioso;4;118;16;Femenino;2;2;Grave;9;2;Error humano;236;Si
963;Brasil;Rio De Janeiro;45083;Noche;Urbano;Calle;Nevoso;3;73;16;Masculino;0;0;Grave;0;2;Error humano;0;Si
964;Brasil;Belo Horizonte;44959;Noche;Rural;Carretera;Lluvioso;4;77;57;Femenino;1;1;Grave;7;4;Falla tecnica;77;No
965;Brasil;Rio De Janeiro;45058;Tarde;Urbano;Calle;Lluvioso;4;61;22;Masculino;0;2;No grave;3;4;Error humano;0;Si
966;Brasil;Puerto Alegre;45261;Noche;Rural;Calle;Lluvioso;4;96;47;Masculino;0;0;Grave;9;2;Error humano;0;No
967;Brasil;Puerto Alegre;45018;Tarde;Urbano;Carretera;Lluvioso;1;93;16;Femenino;1;0;Grave;19;3;Falla tecnica;93;Si
968;Brasil;Puerto Alegre;45078;Noche;Urbano;Calle;Despejado;3;103;50;Femenino;1;0;Grave;7;4;Error humano;103;No
969;Brasil;Rio De Janeiro;45242;Tarde;Urbano;Carretera;Lluvioso;1;103;19;Masculino;1;1;Grave;0;2;Error humano;103;Si
970;Brasil;Belo Horizonte;44929;Manana;Urbano;Carretera;Neblinoso;1;51;28;Femenino;0;1;Grave;13;1;Error humano;0;No
971;Brasil;Rio De Janeiro;45051;Noche;Rural;Calle;Despejado;4;90;71;Masculino;0;1;Grave;9;3;Error humano;0;No
972;Brasil;Puerto Alegre;44960;Manana;Rural;Carretera;Neblinoso;4;108;60;Femenino;1;0;Grave;15;0;Error humano;108;No
973;Brasil;Belo Horizonte;45109;Manana;Urbano;Calle;Nevoso;1;34;25;Masculino;0;2;Grave;18;1;Error humano;0;Si
974;Brasil;Rio De Janeiro;45211;Tarde;Urbano;Carretera;Neblinoso;3;78;62;Femenino;2;2;Grave;19;0;Falla tecnica;156;No
975;Brasil;Belo Horizonte;45052;Manana;Urbano;Carretera;Nevoso;2;106;18;Masculino;2;2;Grave;17;3;Error humano;212;Si
976;Brasil;Puerto Alegre;45267;Manana;Urbano;Calle;Lluvioso;3;99;21;Masculino;0;1;Grave;9;1;Error humano;0;Si
977;Brasil;Rio De Janeiro;45140;Manana;Urbano;Carretera;Neblinoso;2;57;16;Femenino;0;0;Grave;18;1;Clima;0;Si
978;Brasil;Puerto Alegre;45080;Tarde;Urbano;Calle;Lluvioso;1;37;17;Femenino;2;1;Grave;15;1;Error humano;74;Si
979;Brasil;Rio De Janeiro;45048;Noche;Rural;Carretera;Nevoso;1;109;61;Masculino;0;1;Grave;17;3;Error humano;0;No
980;Brasil;Belo Horizonte;45230;Tarde;Urbano;Calle;Neblinoso;4;36;66;Masculino;0;0;Grave;13;3;Falla tecnica;0;No
981;Brasil;Sao Paulo;45138;Manana;Urbano;Calle;Neblinoso;4;42;18;Masculino;0;0;No grave;17;4;Error humano;0;Si
982;Brasil;Sao Paulo;44930;Noche;Rural;Calle;Lluvioso;2;92;54;Femenino;1;2;Grave;4;1;Clima;92;No
983;Brasil;Belo Horizonte;45119;Noche;Urbano;Carretera;Despejado;1;51;16;Masculino;0;1;No grave;7;2;Clima;0;Si
984;Brasil;Puerto Alegre;45230;Tarde;Urbano;Carretera;Lluvioso;3;108;16;Femenino;1;0;Grave;19;3;Error humano;108;Si
985;Brasil;Sao Paulo;44928;Tarde;Urbano;Calle;Lluvioso;3;76;33;Masculino;0;0;Grave;12;2;Falla tecnica;0;No
986;Brasil;Sao Paulo;45105;Manana;Urbano;Carretera;Nevoso;4;66;29;Femenino;2;2;Grave;15;1;Clima;132;No
987;Brasil;Puerto Alegre;45114;Noche;Urbano;Calle;Despejado;1;73;26;Femenino;1;2;Grave;8;2;Error humano;73;No
988;Brasil;Belo Horizonte;45084;Noche;Rural;Calle;Neblinoso;3;105;46;Masculino;2;1;Grave;8;4;Error humano;210;No
989;Brasil;Puerto Alegre;45131;Noche;Urbano;Carretera;Despejado;4;73;19;Femenino;2;2;Grave;5;1;Error humano;146;Si
990;Brasil;Rio De Janeiro;45020;Noche;Urbano;Calle;Lluvioso;4;96;21;Femenino;1;0;Grave;11;2;Error humano;96;Si
991;Brasil;Rio De Janeiro;45114;Noche;Urbano;Calle;Lluvioso;2;79;16;Masculino;1;2;Grave;15;1;Clima;79;Si
992;Brasil;Puerto Alegre;45231;Noche;Urbano;Carretera;Lluvioso;3;63;17;Masculino;2;2;No grave;13;0;Clima;126;Si
993;Brasil;Sao Paulo;44928;Noche;Rural;Calle;Lluvioso;2;65;70;Masculino;2;2;Grave;7;3;Error humano;130;No
994;Brasil;Salvador de Bahia;45080;Tarde;Urbano;Calle;Lluvioso;1;86;30;Masculino;1;0;Grave;16;0;Clima;86;No
995;Brasil;Sao Paulo;45047;Tarde;Rural;Calle;Nevoso;1;40;44;Masculino;2;0;No grave;12;0;Error humano;80;No
996;Brasil;Puerto Alegre;45020;Noche;Urbano;Calle;Neblinoso;3;118;17;Femenino;1;1;Grave;0;4;Error humano;118;Si
997;Brasil;Rio De Janeiro;44985;Manana;Rural;Calle;Nevoso;4;75;69;Masculino;1;0;Grave;2;0;Falla tecnica;75;No
998;Brasil;Belo Horizonte;45201;Tarde;Urbano;Calle;Lluvioso;4;36;19;Masculino;0;0;No grave;18;4;Error humano;0;Si
999;Brasil;Puerto Alegre;44960;Noche;Urbano;Calle;Despejado;2;88;58;Masculino;0;0;Grave;0;2;Clima;0;No
1000;Brasil;Puerto Alegre;45112;Manana;Urbano;Carretera;Neblinoso;3;71;75;Masculino;1;2;Grave;9;2;Clima;71;No
1001;Brasil;Belo Horizonte;45201;Noche;Urbano;Carretera;Lluvioso;3;46;30;Masculino;0;0;Grave;7;0;Falla tecnica;0;No
1002;Brasil;Salvador de Bahia;44987;Noche;Urbano;Calle;Lluvioso;3;101;61;Masculino;1;0;Grave;18;1;Error humano;101;No
1003;Brasil;Salvador de Bahia;45205;Manana;Urbano;Carretera;Lluvioso;3;32;31;Femenino;0;0;Grave;2;4;Error humano;0;No
1004;Brasil;Puerto Alegre;45048;Noche;Urbano;Carretera;Nevoso;3;99;31;Femenino;1;1;Grave;19;1;Error humano;99;No
1005;Brasil;Puerto Alegre;45171;Manana;Rural;Carretera;Despejado;3;111;63;Femenino;0;1;Grave;1;4;Error humano;0;No
1006;Brasil;Sao Paulo;44928;Noche;Urbano;Carretera;Lluvioso;2;57;36;Femenino;0;1;Grave;19;0;Error humano;0;No
1007;Brasil;Rio De Janeiro;44959;Tarde;Rural;Calle;Nevoso;4;32;42;Femenino;0;2;No grave;1;4;Error humano;0;No
1008;Brasil;Puerto Alegre;45262;Noche;Urbano;Calle;Despejado;2;44;20;Femenino;0;0;No grave;2;0;Error humano;0;Si
1009;Brasil;Puerto Alegre;45236;Tarde;Urbano;Carretera;Nevoso;4;36;60;Masculino;2;1;Grave;11;3;Error humano;72;No
1010;Brasil;Salvador de Bahia;44957;Noche;Rural;Carretera;Despejado;2;45;62;Masculino;1;1;No grave;12;4;Error humano;45;No
1011;Brasil;Puerto Alegre;44997;Tarde;Urbano;Calle;Lluvioso;3;119;72;Femenino;0;1;Grave;14;1;Error humano;0;No
1012;Brasil;Salvador de Bahia;45171;Noche;Rural;Carretera;Neblinoso;2;44;55;Femenino;0;1;Grave;16;4;Error humano;0;No
1013;Brasil;Belo Horizonte;45040;Manana;Urbano;Calle;Despejado;2;98;22;Masculino;0;1;Grave;13;1;Falla tecnica;0;Si
1014;Brasil;Rio De Janeiro;45048;Tarde;Urbano;Carretera;Nevoso;3;95;16;Femenino;0;0;Grave;10;1;Falla tecnica;0;Si
1015;Brasil;Puerto Alegre;45047;Noche;Urbano;Calle;Lluvioso;3;87;20;Masculino;2;0;Grave;9;0;Error humano;174;Si
1016;Brasil;Salvador de Bahia;45044;Noche;Rural;Calle;Despejado;4;55;48;Masculino;0;0;No grave;4;3;Clima;0;No
1017;Brasil;Belo Horizonte;45201;Noche;Urbano;Carretera;Despejado;2;65;24;Femenino;1;0;Grave;6;4;Error humano;65;Si
1018;Brasil;Salvador de Bahia;45019;Manana;Urbano;Calle;Lluvioso;2;67;48;Femenino;2;1;No grave;11;1;Error humano;134;No
1019;Brasil;Puerto Alegre;45267;Tarde;Urbano;Carretera;Nevoso;2;114;21;Femenino;1;0;Grave;11;2;Error humano;114;Si
1020;Brasil;Sao Paulo;45018;Manana;Urbano;Carretera;Lluvioso;4;55;71;Femenino;0;2;No grave;4;3;Error humano;0;No
1021;Brasil;Rio De Janeiro;45144;Tarde;Rural;Carretera;Lluvioso;2;73;72;Masculino;1;2;Grave;0;3;Clima;73;No
