N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Gravedad_del_accidente;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente
2738;Canada;Calgary;28-02-2024;Noche;Urbano;Carretera;Despejado;4;115;16;Femenino;0;1;No Grave;4;3;Conducir en estado de ebriedad
2739;Canada;Montreal;05-07-2024;Manana;Urbano;Carretera principal;Despejado;2;40;21;Masculino;2;2;Grave;13;1;Clima
2740;Canada;Vancouver;02-08-2024;Manana;Urbano;Carretera principal;Ventoso;1;99;19;Masculino;1;0;No Grave;14;2;Falla mecanica
2741;Canada;Toronto;02-07-2024;Manana;Rural;Carretera;Despejado;1;106;17;Femenino;2;1;No Grave;17;4;Falla mecanica
2742;Canada;Winnipeg;05-04-2024;Noche;Rural;Calle;Ventoso;4;35;21;Femenino;0;0;Grave;14;3;Conducir distraido
2743;Canada;Calgary;12-11-2024;Noche;Rural;Carretera principal;Ventoso;1;57;19;Femenino;0;2;Grave;0;0;Conducir distraido
2744;Canada;Montreal;02-06-2024;Manana;Rural;Carretera principal;Despejado;4;95;46;Femenino;1;1;Grave;19;0;Conducir distraido
2745;Canada;Montreal;31-12-2024;Manana;Urbano;Calle;Neblinoso;1;97;73;Femenino;1;1;Grave;15;4;Conducir en estado de ebriedad
2746;Canada;Calgary;03-03-2024;Noche;Urbano;Carretera principal;Ventoso;3;83;37;Masculino;2;1;Grave;11;1;Falla mecanica
2747;Canada;Toronto;02-06-2024;Noche;Urbano;Carretera;Lluvioso;2;58;21;Femenino;0;0;Grave;11;0;Clima
2748;Canada;Winnipeg;01-05-2024;Noche;Urbano;Carretera principal;Neblinoso;2;106;75;Femenino;2;0;Grave;12;3;Conducir distraido
2749;Canada;Vancouver;06-10-2024;Noche;Urbano;Carretera principal;Nevoso;4;73;42;Masculino;2;0;Grave;2;3;Conducir distraido
2750;Canada;Calgary;02-11-2024;Tarde;Urbano;Carretera;Neblinoso;3;107;19;Femenino;0;1;Grave;4;4;Clima
2751;Canada;Vancouver;05-09-2024;Manana;Rural;Carretera principal;Ventoso;4;79;47;Masculino;0;1;No Grave;7;3;Falla mecanica
2752;Canada;Montreal;12-08-2024;Noche;Rural;Carretera;Ventoso;2;31;25;Femenino;0;0;Grave;4;0;Clima
2753;Canada;Calgary;02-11-2024;Tarde;Urbano;Carretera principal;Lluvioso;3;46;54;Femenino;0;2;No Grave;10;4;Clima
2754;Canada;Toronto;04-05-2024;Noche;Urbano;Carretera principal;Ventoso;2;108;47;Masculino;1;1;No Grave;0;4;Falla mecanica
2755;Canada;Toronto;01-06-2024;Tarde;Rural;Carretera;Despejado;4;37;32;Femenino;1;1;Grave;8;0;Falla mecanica
2756;Canada;Montreal;31-07-2024;Manana;Urbano;Calle;Despejado;4;74;74;Femenino;0;0;Grave;2;3;Exceso de velocidad
2757;Canada;Toronto;02-08-2024;Noche;Rural;Carretera principal;Neblinoso;2;70;23;Femenino;0;1;No Grave;1;3;Falla mecanica
2758;Canada;Vancouver;06-06-2024;Noche;Rural;Carretera;Despejado;3;51;17;Masculino;1;1;No Grave;5;0;Conducir distraido
2759;Canada;Calgary;04-05-2024;Noche;Urbano;Carretera;Despejado;4;98;18;Femenino;1;2;Grave;13;0;Conducir distraido
2760;Canada;Toronto;06-01-2024;Noche;Urbano;Carretera principal;Neblinoso;4;91;18;Masculino;2;0;Grave;0;0;Conducir en estado de ebriedad
2761;Canada;Winnipeg;01-03-2024;Noche;Urbano;Carretera;Neblinoso;4;91;33;Femenino;1;2;No Grave;17;2;Clima
2762;Canada;Winnipeg;28-02-2024;Tarde;Urbano;Carretera principal;Despejado;2;47;52;Femenino;0;2;No Grave;2;0;Clima
2763;Canada;Vancouver;02-04-2024;Noche;Urbano;Carretera principal;Nevoso;3;105;17;Masculino;1;0;Grave;1;0;Exceso de velocidad
2764;Canada;Montreal;04-10-2024;Manana;Urbano;Carretera;Lluvioso;4;83;25;Femenino;0;0;Grave;19;2;Clima
2765;Canada;Winnipeg;12-04-2024;Tarde;Urbano;Carretera principal;Despejado;2;39;47;Femenino;1;0;Grave;8;1;Conducir distraido
2766;Canada;Calgary;02-05-2024;Tarde;Rural;Calle;Nevoso;4;112;16;Femenino;1;0;Grave;18;0;Conducir en estado de ebriedad
2767;Canada;Montreal;06-10-2024;Noche;Rural;Carretera principal;Despejado;1;45;23;Masculino;0;0;No Grave;2;2;Conducir en estado de ebriedad
2768;Canada;Vancouver;12-08-2024;Tarde;Urbano;Carretera;Despejado;2;108;19;Masculino;2;2;Grave;15;4;Conducir en estado de ebriedad
2769;Canada;Toronto;07-03-2024;Manana;Urbano;Carretera;Despejado;3;89;19;Femenino;1;2;Grave;17;2;Falla mecanica
2770;Canada;Calgary;06-08-2024;Tarde;Rural;Carretera;Lluvioso;3;81;35;Masculino;1;0;Grave;7;3;Conducir distraido
2771;Canada;Toronto;01-12-2024;Tarde;Rural;Carretera principal;Lluvioso;4;74;41;Masculino;2;1;No Grave;5;4;Conducir en estado de ebriedad
2772;Canada;Toronto;02-04-2024;Noche;Rural;Carretera;Nevoso;4;58;26;Masculino;2;1;Grave;1;4;Conducir en estado de ebriedad
2773;Canada;Montreal;28-06-2024;Noche;Rural;Calle;Despejado;2;108;16;Femenino;0;0;Grave;14;3;Conducir en estado de ebriedad
2774;Canada;Calgary;01-02-2024;Noche;Urbano;Calle;Neblinoso;2;74;28;Masculino;0;0;No Grave;17;0;Conducir en estado de ebriedad
2775;Canada;Montreal;02-06-2024;Noche;Rural;Carretera;Neblinoso;4;90;49;Masculino;2;0;Grave;2;2;Falla mecanica
2776;Canada;Calgary;12-10-2024;Noche;Rural;Carretera;Nevoso;2;111;27;Femenino;1;1;No Grave;9;0;Clima
2777;Canada;Calgary;01-11-2024;Noche;Rural;Calle;Despejado;1;96;56;Masculino;0;0;Grave;14;0;Exceso de velocidad
2778;Canada;Calgary;06-05-2024;Noche;Rural;Calle;Lluvioso;4;86;45;Masculino;1;0;Grave;2;2;Conducir en estado de ebriedad
2779;Canada;Vancouver;02-03-2024;Tarde;Urbano;Calle;Neblinoso;4;38;37;Femenino;1;1;Grave;17;1;Conducir en estado de ebriedad
2780;Canada;Montreal;01-11-2024;Noche;Rural;Carretera;Lluvioso;2;55;68;Masculino;2;1;Grave;17;0;Falla mecanica
2781;Canada;Winnipeg;12-08-2024;Noche;Rural;Calle;Neblinoso;1;42;64;Masculino;0;2;Grave;5;4;Clima
2782;Canada;Calgary;06-05-2024;Tarde;Rural;Calle;Neblinoso;1;80;60;Femenino;2;1;Grave;5;2;Falla mecanica
2783;Canada;Vancouver;07-07-2024;Tarde;Rural;Carretera principal;Lluvioso;4;78;63;Masculino;1;1;Grave;2;0;Exceso de velocidad
2784;Canada;Montreal;03-11-2024;Tarde;Urbano;Calle;Despejado;1;43;59;Masculino;0;1;Grave;14;1;Clima
2785;Canada;Vancouver;04-08-2024;Manana;Rural;Calle;Neblinoso;4;42;17;Masculino;1;1;No Grave;14;2;Clima
2786;Canada;Calgary;03-12-2024;Tarde;Rural;Carretera principal;Nevoso;1;62;67;Masculino;1;0;Grave;10;0;Conducir distraido
2787;Canada;Calgary;04-01-2024;Manana;Rural;Carretera principal;Nevoso;3;99;39;Masculino;0;0;Grave;18;0;Clima
2788;Canada;Winnipeg;03-10-2024;Tarde;Rural;Calle;Ventoso;2;47;32;Femenino;2;2;Grave;5;3;Conducir distraido
2789;Canada;Toronto;24-03-2024;Manana;Rural;Carretera;Neblinoso;3;44;68;Femenino;1;0;No Grave;15;1;Falla mecanica
2790;Canada;Toronto;02-09-2024;Noche;Rural;Carretera;Nevoso;3;51;22;Masculino;0;1;Grave;5;1;Conducir en estado de ebriedad
2791;Canada;Calgary;02-09-2024;Tarde;Urbano;Carretera;Ventoso;1;111;16;Masculino;2;0;Grave;5;4;Exceso de velocidad
2792;Canada;Calgary;04-03-2024;Noche;Rural;Carretera;Nevoso;4;54;63;Femenino;0;2;Grave;14;2;Conducir en estado de ebriedad
2793;Canada;Toronto;31-07-2024;Noche;Urbano;Carretera principal;Nevoso;3;92;23;Masculino;0;2;Grave;14;2;Exceso de velocidad
2794;Canada;Montreal;05-11-2024;Tarde;Urbano;Carretera principal;Lluvioso;2;85;16;Masculino;2;2;Grave;18;0;Conducir distraido
2795;Canada;Toronto;02-10-2024;Noche;Rural;Calle;Lluvioso;4;91;17;Masculino;2;2;Grave;3;2;Conducir distraido
2796;Canada;Calgary;01-10-2024;Manana;Urbano;Calle;Neblinoso;4;92;18;Femenino;2;1;Grave;19;2;Conducir distraido
2797;Canada;Vancouver;31-10-2024;Tarde;Rural;Calle;Ventoso;1;80;46;Femenino;0;2;Grave;13;0;Exceso de velocidad
2798;Canada;Toronto;31-03-2024;Manana;Rural;Carretera principal;Despejado;2;74;29;Masculino;0;2;Grave;8;1;Clima
2799;Canada;Calgary;01-09-2024;Manana;Rural;Calle;Ventoso;1;106;16;Masculino;1;0;Grave;7;2;Falla mecanica
2800;Canada;Winnipeg;02-03-2024;Noche;Urbano;Carretera principal;Neblinoso;2;105;64;Femenino;1;2;Grave;17;2;Conducir en estado de ebriedad
2801;Canada;Calgary;05-10-2024;Tarde;Urbano;Carretera;Nevoso;3;69;18;Femenino;0;1;Grave;12;0;Falla mecanica
2802;Canada;Winnipeg;05-02-2024;Noche;Urbano;Carretera;Ventoso;2;105;66;Masculino;0;1;No Grave;18;0;Conducir distraido
2803;Canada;Montreal;01-05-2024;Noche;Rural;Carretera;Despejado;2;42;21;Masculino;2;1;Grave;1;4;Clima
2804;Canada;Montreal;02-01-2024;Noche;Urbano;Carretera principal;Lluvioso;3;30;32;Femenino;1;2;No Grave;8;4;Conducir en estado de ebriedad
2805;Canada;Toronto;06-03-2024;Noche;Urbano;Calle;Lluvioso;2;78;21;Femenino;1;1;No Grave;10;4;Clima
2806;Canada;Vancouver;01-11-2024;Manana;Rural;Calle;Ventoso;4;94;43;Masculino;2;2;No Grave;4;4;Exceso de velocidad
2807;Canada;Winnipeg;03-10-2024;Noche;Rural;Calle;Ventoso;1;117;20;Masculino;0;2;Grave;9;2;Exceso de velocidad
2808;Canada;Winnipeg;24-08-2024;Noche;Rural;Carretera principal;Nevoso;2;90;73;Femenino;2;0;Grave;14;2;Falla mecanica
2809;Canada;Toronto;01-04-2024;Noche;Urbano;Carretera principal;Neblinoso;2;116;18;Femenino;0;0;Grave;3;4;Clima
2810;Canada;Calgary;06-08-2024;Noche;Urbano;Carretera principal;Neblinoso;1;65;22;Femenino;2;1;No Grave;10;4;Clima
2811;Canada;Toronto;31-01-2024;Manana;Rural;Carretera principal;Nevoso;1;41;19;Femenino;2;0;Grave;8;0;Exceso de velocidad
2812;Canada;Vancouver;01-02-2024;Noche;Urbano;Calle;Ventoso;3;57;34;Masculino;2;1;Grave;4;2;Exceso de velocidad
2813;Canada;Vancouver;04-07-2024;Tarde;Rural;Carretera principal;Ventoso;4;52;46;Femenino;2;2;No Grave;16;1;Exceso de velocidad
2814;Canada;Toronto;01-07-2024;Tarde;Urbano;Carretera principal;Despejado;4;81;58;Masculino;0;2;Grave;8;3;Clima
2815;Canada;Montreal;02-01-2024;Tarde;Urbano;Carretera principal;Nevoso;3;74;17;Femenino;1;0;No Grave;2;3;Clima
2816;Canada;Vancouver;01-06-2024;Tarde;Urbano;Calle;Lluvioso;4;35;34;Femenino;0;0;Grave;9;3;Conducir distraido
2817;Canada;Calgary;06-08-2024;Noche;Urbano;Calle;Despejado;4;43;42;Femenino;1;0;No Grave;17;1;Falla mecanica
2818;Canada;Vancouver;05-04-2024;Tarde;Rural;Carretera principal;Despejado;2;55;37;Masculino;2;2;Grave;13;3;Falla mecanica
2819;Canada;Calgary;06-06-2024;Tarde;Rural;Carretera principal;Nevoso;2;92;17;Femenino;0;1;Grave;12;1;Exceso de velocidad
2820;Canada;Winnipeg;02-12-2024;Noche;Urbano;Carretera principal;Neblinoso;1;98;34;Femenino;0;2;No Grave;17;0;Conducir distraido
2821;Canada;Calgary;28-06-2024;Tarde;Rural;Carretera;Despejado;3;109;19;Femenino;0;2;Grave;8;4;Falla mecanica
2822;Canada;Winnipeg;02-05-2024;Noche;Rural;Carretera principal;Ventoso;2;73;49;Femenino;1;1;Grave;8;1;Conducir en estado de ebriedad
2823;Canada;Calgary;05-05-2024;Manana;Urbano;Carretera principal;Neblinoso;3;75;62;Femenino;0;0;No Grave;18;0;Conducir distraido
2824;Canada;Calgary;24-06-2024;Noche;Rural;Carretera;Neblinoso;4;71;30;Masculino;2;0;Grave;12;3;Exceso de velocidad
2825;Canada;Toronto;04-12-2024;Noche;Urbano;Calle;Neblinoso;1;43;21;Femenino;0;0;No Grave;11;2;Clima
2826;Canada;Toronto;06-04-2024;Noche;Rural;Calle;Ventoso;3;40;60;Femenino;0;0;Grave;3;3;Falla mecanica
2827;Canada;Calgary;04-05-2024;Manana;Urbano;Carretera principal;Neblinoso;1;47;46;Masculino;2;0;Grave;5;1;Exceso de velocidad
2828;Canada;Toronto;02-11-2024;Tarde;Urbano;Carretera principal;Ventoso;3;104;25;Femenino;1;2;Grave;18;2;Falla mecanica
2829;Canada;Montreal;05-12-2024;Manana;Rural;Carretera principal;Neblinoso;4;67;75;Masculino;1;0;Grave;11;0;Conducir en estado de ebriedad
2830;Canada;Vancouver;02-07-2024;Tarde;Urbano;Carretera;Neblinoso;2;87;71;Masculino;0;2;Grave;19;4;Conducir distraido
2831;Canada;Vancouver;12-06-2024;Tarde;Rural;Calle;Lluvioso;3;40;58;Masculino;1;0;Grave;17;3;Exceso de velocidad
2832;Canada;Montreal;31-12-2024;Noche;Urbano;Calle;Nevoso;2;115;36;Femenino;1;2;No Grave;4;4;Falla mecanica
2833;Canada;Montreal;12-05-2024;Noche;Rural;Carretera principal;Nevoso;4;62;65;Femenino;2;0;Grave;17;0;Falla mecanica
2834;Canada;Montreal;05-05-2024;Noche;Rural;Carretera;Lluvioso;1;32;16;Femenino;1;0;Grave;8;3;Conducir distraido
2835;Canada;Calgary;02-08-2024;Manana;Rural;Carretera;Despejado;3;87;16;Femenino;1;2;No Grave;4;3;Falla mecanica
2836;Canada;Toronto;03-06-2024;Noche;Rural;Carretera principal;Ventoso;1;53;27;Masculino;1;1;Grave;18;1;Conducir en estado de ebriedad
2837;Canada;Toronto;02-08-2024;Tarde;Rural;Calle;Nevoso;3;48;75;Femenino;1;1;Grave;15;4;Conducir distraido
2838;Canada;Montreal;31-05-2024;Noche;Rural;Calle;Despejado;3;81;38;Masculino;0;1;Grave;13;0;Exceso de velocidad
2839;Canada;Calgary;07-12-2024;Noche;Urbano;Carretera principal;Ventoso;1;101;36;Masculino;1;1;Grave;6;3;Conducir distraido
2840;Canada;Montreal;02-07-2024;Manana;Rural;Carretera;Lluvioso;3;109;27;Masculino;0;0;Grave;16;2;Conducir en estado de ebriedad
2841;Canada;Vancouver;12-08-2024;Noche;Rural;Calle;Lluvioso;2;71;20;Femenino;2;1;Grave;2;4;Conducir en estado de ebriedad
2842;Canada;Winnipeg;02-08-2024;Manana;Urbano;Calle;Nevoso;4;36;17;Femenino;2;0;Grave;4;3;Conducir distraido
2843;Canada;Toronto;07-09-2024;Noche;Rural;Carretera;Ventoso;2;95;17;Masculino;2;2;Grave;14;2;Exceso de velocidad
2844;Canada;Toronto;02-08-2024;Tarde;Urbano;Carretera principal;Lluvioso;1;102;50;Masculino;0;2;No Grave;16;2;Conducir distraido
2845;Canada;Toronto;06-10-2024;Manana;Urbano;Calle;Despejado;3;104;33;Femenino;2;2;Grave;13;4;Falla mecanica
2846;Canada;Toronto;12-10-2024;Manana;Urbano;Calle;Despejado;3;113;22;Masculino;1;1;No Grave;15;2;Exceso de velocidad
2847;Canada;Montreal;02-05-2024;Manana;Rural;Calle;Lluvioso;2;93;58;Masculino;0;0;Grave;6;0;Conducir en estado de ebriedad
2848;Canada;Vancouver;12-04-2024;Noche;Urbano;Calle;Nevoso;4;102;45;Femenino;2;0;Grave;5;1;Conducir distraido
2849;Canada;Montreal;02-01-2024;Noche;Rural;Carretera;Despejado;2;48;60;Masculino;0;2;No Grave;15;3;Conducir distraido
2850;Canada;Calgary;03-08-2024;Noche;Rural;Calle;Lluvioso;2;74;36;Femenino;2;2;No Grave;6;4;Conducir distraido
2851;Canada;Montreal;02-04-2024;Manana;Rural;Carretera;Neblinoso;3;105;55;Femenino;2;1;No Grave;8;1;Conducir en estado de ebriedad
2852;Canada;Winnipeg;01-02-2024;Manana;Rural;Carretera principal;Despejado;4;106;20;Femenino;2;1;No Grave;17;2;Clima
2853;Canada;Winnipeg;04-11-2024;Noche;Urbano;Calle;Despejado;2;37;42;Femenino;2;0;Grave;18;2;Falla mecanica
2854;Canada;Montreal;06-05-2024;Noche;Rural;Carretera;Lluvioso;3;73;17;Masculino;1;0;Grave;3;3;Conducir en estado de ebriedad
2855;Canada;Calgary;31-01-2024;Tarde;Urbano;Carretera;Lluvioso;4;88;37;Femenino;2;1;Grave;12;3;Conducir en estado de ebriedad
2856;Canada;Vancouver;02-01-2024;Noche;Rural;Carretera;Ventoso;3;99;17;Masculino;0;2;Grave;13;0;Exceso de velocidad
2857;Canada;Toronto;31-07-2024;Tarde;Rural;Calle;Neblinoso;4;38;50;Masculino;1;0;Grave;4;3;Conducir distraido
2858;Canada;Toronto;28-09-2024;Tarde;Urbano;Carretera;Lluvioso;1;81;28;Femenino;0;1;Grave;9;2;Clima
2859;Canada;Toronto;04-05-2024;Tarde;Urbano;Carretera principal;Ventoso;1;119;17;Masculino;1;1;Grave;5;1;Conducir en estado de ebriedad
2860;Canada;Calgary;07-10-2024;Manana;Rural;Carretera;Lluvioso;2;119;75;Femenino;2;0;No Grave;19;3;Clima
2861;Canada;Vancouver;07-04-2024;Manana;Urbano;Carretera;Despejado;4;116;39;Femenino;2;1;Grave;12;2;Clima
2862;Canada;Vancouver;02-02-2024;Manana;Urbano;Carretera;Nevoso;1;38;66;Femenino;1;0;No Grave;8;3;Falla mecanica
2863;Canada;Toronto;03-09-2024;Noche;Rural;Carretera;Despejado;4;113;57;Femenino;1;1;No Grave;4;3;Conducir distraido
2864;Canada;Calgary;01-12-2024;Noche;Rural;Carretera principal;Nevoso;3;95;57;Masculino;2;0;Grave;5;1;Exceso de velocidad
2865;Canada;Winnipeg;04-04-2024;Noche;Rural;Calle;Ventoso;2;72;24;Masculino;1;0;No Grave;16;2;Conducir en estado de ebriedad
2866;Canada;Montreal;03-01-2024;Manana;Rural;Carretera;Neblinoso;3;81;43;Masculino;0;1;Grave;3;3;Exceso de velocidad
2867;Canada;Montreal;12-04-2024;Tarde;Urbano;Carretera principal;Despejado;3;89;54;Masculino;2;0;Grave;11;3;Exceso de velocidad
2868;Canada;Calgary;31-05-2024;Noche;Urbano;Carretera;Ventoso;1;113;16;Masculino;2;2;Grave;15;1;Conducir en estado de ebriedad
2869;Canada;Vancouver;02-12-2024;Tarde;Rural;Calle;Lluvioso;4;92;38;Masculino;0;1;Grave;5;3;Conducir en estado de ebriedad
2870;Canada;Montreal;12-08-2024;Noche;Rural;Carretera;Neblinoso;2;44;65;Femenino;2;0;Grave;16;2;Falla mecanica
2871;Canada;Calgary;12-09-2024;Manana;Urbano;Calle;Ventoso;3;36;30;Masculino;2;2;Grave;3;2;Clima
2872;Canada;Montreal;02-09-2024;Noche;Urbano;Carretera principal;Ventoso;3;105;22;Masculino;0;0;No Grave;4;0;Conducir distraido
2873;Canada;Toronto;02-09-2024;Noche;Rural;Calle;Lluvioso;4;50;16;Femenino;2;1;No Grave;10;2;Clima
2874;Canada;Toronto;31-03-2024;Tarde;Urbano;Carretera principal;Lluvioso;2;49;24;Femenino;0;2;No Grave;12;2;Falla mecanica
2875;Canada;Toronto;02-12-2024;Manana;Rural;Carretera;Nevoso;3;69;16;Femenino;1;2;Grave;2;0;Conducir distraido
2876;Canada;Calgary;05-03-2024;Tarde;Urbano;Carretera;Nevoso;4;30;24;Femenino;1;1;Grave;0;1;Clima
2877;Canada;Toronto;03-08-2024;Manana;Rural;Carretera;Neblinoso;3;57;70;Masculino;0;1;Grave;12;3;Conducir distraido
2878;Canada;Montreal;12-04-2024;Noche;Urbano;Calle;Nevoso;2;49;75;Masculino;1;0;Grave;19;2;Conducir distraido
2879;Canada;Montreal;31-08-2024;Noche;Urbano;Carretera principal;Neblinoso;3;61;35;Femenino;1;1;Grave;17;1;Conducir en estado de ebriedad
2880;Canada;Calgary;06-02-2024;Noche;Urbano;Carretera;Neblinoso;1;52;31;Masculino;0;2;Grave;6;2;Conducir en estado de ebriedad
2881;Canada;Winnipeg;01-07-2024;Noche;Rural;Carretera;Lluvioso;4;43;25;Femenino;0;2;Grave;11;4;Exceso de velocidad
2882;Canada;Montreal;02-07-2024;Noche;Urbano;Carretera principal;Neblinoso;4;100;17;Masculino;0;1;No Grave;4;0;Conducir en estado de ebriedad
2883;Canada;Vancouver;02-03-2024;Noche;Rural;Carretera principal;Despejado;3;37;70;Femenino;1;1;Grave;3;1;Falla mecanica
2884;Canada;Vancouver;12-10-2024;Noche;Rural;Calle;Neblinoso;3;85;19;Masculino;1;1;Grave;7;1;Conducir en estado de ebriedad
2885;Canada;Winnipeg;01-05-2024;Manana;Urbano;Calle;Neblinoso;3;76;16;Femenino;1;0;Grave;9;1;Clima
2886;Canada;Calgary;12-09-2024;Manana;Urbano;Calle;Despejado;3;87;19;Masculino;0;2;Grave;6;0;Conducir distraido
2887;Canada;Winnipeg;02-05-2024;Manana;Rural;Carretera principal;Despejado;4;102;16;Femenino;0;0;Grave;7;2;Conducir en estado de ebriedad
2888;Canada;Vancouver;04-02-2024;Manana;Rural;Carretera principal;Despejado;2;88;23;Masculino;2;0;Grave;11;1;Exceso de velocidad
2889;Canada;Vancouver;04-09-2024;Noche;Rural;Calle;Despejado;2;106;59;Femenino;2;2;Grave;11;1;Clima
2890;Canada;Winnipeg;02-06-2024;Tarde;Rural;Calle;Lluvioso;3;106;69;Masculino;2;2;Grave;18;2;Exceso de velocidad
2891;Canada;Montreal;24-04-2024;Manana;Rural;Calle;Despejado;3;42;16;Femenino;1;0;Grave;9;1;Falla mecanica
2892;Canada;Calgary;02-03-2024;Noche;Rural;Carretera;Ventoso;4;35;17;Masculino;1;1;Grave;0;0;Conducir en estado de ebriedad
2893;Canada;Toronto;28-02-2024;Manana;Rural;Carretera;Ventoso;2;111;69;Femenino;1;0;No Grave;13;0;Clima
2894;Canada;Vancouver;06-11-2024;Noche;Urbano;Calle;Ventoso;1;41;17;Femenino;1;2;Grave;6;2;Conducir en estado de ebriedad
2895;Canada;Winnipeg;02-11-2024;Manana;Rural;Calle;Ventoso;4;83;17;Masculino;0;2;No Grave;5;2;Conducir distraido
2896;Canada;Montreal;02-07-2024;Noche;Rural;Carretera;Lluvioso;2;30;39;Masculino;0;1;Grave;5;4;Exceso de velocidad
2897;Canada;Montreal;03-04-2024;Tarde;Urbano;Carretera;Nevoso;2;52;45;Masculino;2;0;Grave;4;0;Exceso de velocidad
2898;Canada;Calgary;28-11-2024;Noche;Urbano;Carretera;Despejado;1;69;50;Masculino;2;0;No Grave;12;0;Falla mecanica
2899;Canada;Toronto;02-10-2024;Noche;Urbano;Carretera;Nevoso;3;92;17;Femenino;0;2;No Grave;0;2;Falla mecanica
2900;Canada;Toronto;12-05-2024;Noche;Rural;Carretera principal;Ventoso;3;61;41;Masculino;0;2;No Grave;8;4;Clima
2901;Canada;Montreal;04-09-2024;Tarde;Urbano;Carretera;Despejado;3;78;17;Masculino;1;1;Grave;14;3;Conducir distraido
2902;Canada;Calgary;12-09-2024;Manana;Rural;Carretera;Neblinoso;4;87;69;Masculino;1;0;Grave;6;3;Clima
2903;Canada;Toronto;03-03-2024;Noche;Rural;Calle;Nevoso;4;83;67;Masculino;0;1;Grave;9;1;Exceso de velocidad
2904;Canada;Calgary;06-01-2024;Noche;Urbano;Carretera;Lluvioso;1;64;21;Masculino;0;1;Grave;8;4;Exceso de velocidad
2905;Canada;Toronto;02-10-2024;Tarde;Urbano;Carretera principal;Despejado;4;34;16;Masculino;2;0;Grave;12;1;Exceso de velocidad
2906;Canada;Toronto;06-04-2024;Noche;Rural;Carretera principal;Despejado;3;85;32;Masculino;2;1;Grave;3;3;Exceso de velocidad
2907;Canada;Vancouver;02-05-2024;Noche;Rural;Carretera;Despejado;3;59;16;Femenino;1;1;Grave;14;1;Falla mecanica
2908;Canada;Montreal;01-11-2024;Tarde;Rural;Carretera;Despejado;1;93;37;Femenino;0;2;Grave;14;1;Conducir en estado de ebriedad
2909;Canada;Montreal;05-08-2024;Noche;Urbano;Carretera;Nevoso;2;90;57;Masculino;2;1;No Grave;14;4;Conducir distraido
2910;Canada;Toronto;02-04-2024;Tarde;Rural;Carretera principal;Despejado;2;83;18;Femenino;0;0;No Grave;16;3;Falla mecanica
2911;Canada;Winnipeg;02-10-2024;Noche;Rural;Carretera;Despejado;1;68;67;Femenino;2;2;No Grave;2;4;Clima
2912;Canada;Vancouver;03-06-2024;Tarde;Rural;Carretera principal;Neblinoso;3;43;64;Femenino;2;0;Grave;16;3;Conducir en estado de ebriedad
2913;Canada;Toronto;04-01-2024;Manana;Urbano;Calle;Ventoso;3;119;22;Femenino;1;1;Grave;12;3;Exceso de velocidad
2914;Canada;Montreal;12-06-2024;Noche;Rural;Calle;Nevoso;3;103;55;Femenino;2;2;Grave;17;2;Conducir distraido
2915;Canada;Toronto;02-11-2024;Noche;Rural;Calle;Despejado;4;113;24;Masculino;2;2;Grave;13;3;Falla mecanica
2916;Canada;Montreal;02-04-2024;Noche;Rural;Calle;Ventoso;3;116;28;Masculino;0;0;Grave;3;2;Conducir en estado de ebriedad
2917;Canada;Vancouver;04-06-2024;Tarde;Urbano;Calle;Despejado;1;41;63;Femenino;1;1;No Grave;1;3;Clima
2918;Canada;Montreal;12-10-2024;Manana;Rural;Carretera principal;Ventoso;3;68;31;Femenino;2;0;Grave;5;4;Conducir en estado de ebriedad
2919;Canada;Montreal;01-07-2024;Noche;Urbano;Carretera principal;Ventoso;1;75;71;Femenino;2;0;Grave;10;1;Falla mecanica
2920;Canada;Montreal;31-07-2024;Tarde;Urbano;Carretera;Lluvioso;3;86;72;Femenino;1;2;Grave;9;1;Conducir distraido
2921;Canada;Calgary;02-02-2024;Tarde;Rural;Carretera principal;Lluvioso;2;34;18;Femenino;0;0;Grave;6;0;Conducir distraido
2922;Canada;Winnipeg;05-07-2024;Noche;Urbano;Carretera principal;Ventoso;3;33;63;Masculino;1;2;Grave;8;1;Exceso de velocidad
2923;Canada;Vancouver;03-07-2024;Manana;Rural;Calle;Lluvioso;2;60;42;Masculino;2;0;Grave;2;0;Exceso de velocidad
2924;Canada;Toronto;03-02-2024;Manana;Rural;Carretera;Despejado;3;109;45;Femenino;2;2;No Grave;18;3;Clima
2925;Canada;Calgary;05-09-2024;Manana;Urbano;Carretera;Neblinoso;1;84;34;Masculino;0;1;Grave;10;0;Clima
2926;Canada;Vancouver;06-01-2024;Noche;Urbano;Carretera principal;Neblinoso;1;102;31;Femenino;2;1;Grave;16;3;Conducir distraido
2927;Canada;Calgary;02-04-2024;Tarde;Rural;Carretera principal;Nevoso;2;89;41;Femenino;1;1;Grave;1;1;Conducir en estado de ebriedad
2928;Canada;Calgary;28-04-2024;Noche;Rural;Carretera principal;Neblinoso;3;31;48;Masculino;0;0;No Grave;4;2;Falla mecanica
2929;Canada;Montreal;01-04-2024;Manana;Urbano;Carretera;Nevoso;1;84;25;Femenino;0;1;No Grave;3;4;Falla mecanica
